Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
        Male (People),110398754,111502912,112579479,113646987,114670252,115729577,116865225,117960907,119085496,120277490,121713764,123416235,125247146,126970600,128597479,130215371,131807484,133473526,135129904,136802873,138443407,139891492,141230559,142428897,143828012,145197078,146647265,148064854,149489951,150807454,152074758,153200058,154374397,155481926,156654424,157856394,159021785,160045920,160885734,161657324,
        Female (People),116825965,117962696,119085017,120144916,121154531,122194155,123267616,124328116,125413340,126541629,127909050,129564706,131267078,132947988,134528342,136063022,137586800,139173399,140724200,142237295,143719004,145077463,146394634,147679036,148977286,150319521,151732647,153166353,154604015,155964075,157246908,158356816,159456593,160511789,161646584,162778769,163919526,164939619,165801767,166582199,
        Children (under 18) (People),63683466,63211690,62812665,62566086,62482778,62623913,62865654,63056407,63247010,63456320,64215494,65313018,66509177,67594938,68640935,69473139,70233512,70920737,71431406,71946049,72376189,72671175,72936457,73100758,73297735,73523669,73757714,74019405,74104602,74134167,74120666,73907524,73696664,73568702,73563723,73618051,73649413,73585346,73319145,73039150,
        Working-age (16-64) (People),146228559,148208039,149865297,151358359,152791366,154216286,155758958,157278129,158587206,159657205,160886927,162606993,164462097,166375881,168320633,170364628,172662963,175173297,177751976,180347807,182825698,185144529,187442080,189443100,191685314,193890786,196292581,198359386,200089979,201800866,203411942,204880180,205444520,206149020,206928134,207737412,208562839,209153354,209360575,209434955,
        Elderly (65+) (People),25707448,26220666,26787304,27360434,27877238,28415906,29007328,29625949,30123404,30681589,31247279,31811624,32355994,32901811,33330803,33769304,34143049,34401561,34619159,34797841,35069568,35290291,35522207,35863529,36203319,36649798,37164107,37825711,38777621,39623175,40478224,41350015,43130363,44629455,46157016,47650770,49202071,50753404,52369339,54058263,
        Working-age (18-64) (People),,,,,,,,,,,,,,,,,,,,,174716654,177007489,179166529,181143646,183304244,185343132,187458091,189386091,191211743,193014187,194722776,196299335,197003963,197795558,198580269,199366342,200089827,200646789,200999017,201142110,
        Children (15 and under) (People),,,,,,,,,,,,,,,,,,,,,64344519,64534135,64660906,64801304,64916665,64976015,64923224,65046110,65226366,65347488,65431500,65326679,65256107,65215240,65215858,65246981,65176401,65078781,64957587,64746305,
        White (People),194713000,196634941,198037360,199420087,200707727,202031343,203429819,204770146,206129014,207539903,209366661,211606011,213945622,216187073,218304774,220384783,222420050,224553464,226648119,228687790,228530479,230049196,231446915,232717191,234120447,235491577,236954818,238378087,239783014,241034399,242235328,243292145,244354778,245308889,246350641,247382690,248413058,249270773,249961025,250522190,
        Black or African American (People),26683000,27133356,27508316,27867416,28212477,28568658,28941763,29324578,29722999,30143449,30648345,31290743,31979982,32634735,33258981,33847306,34415478,35007679,35594140,36173121,35814706,36263029,36684650,37066096,37510582,37961688,38443048,38935533,39429414,39902270,40355385,40783547,41225339,41651863,42090120,42532491,42970183,43374142,43732024,44075086,
        Asian (People),3729000,4213992,4581276,4908787,5249129,5606129,5978210,6343072,6723845,7134492,7549082,7957219,8386444,8814728,9200988,9604552,10023883,10459307,10885809,11346496,11173178,11669880,12156530,12625915,13090057,13576467,14066685,14547694,15030973,15491716,15261408,15721072,16195092,16679752,17203569,17752744,18279949,18764237,19134105,19504862,
        American Indian and Alaska Native (People),1420000,1483027,1537259,1595947,1655707,1717908,1783256,1851250,1923182,2001351,2058726,2126968,2202176,2282052,2361078,2441752,2534873,2626475,2726036,2832761,2684491,2769731,2857113,2947575,3044517,3147772,3258666,3377213,3504878,3636766,3752274,3801451,3853222,3902766,3953354,4004358,4054740,4101605,4145811,4188092,
        Other / Mixed race (People),,,,,,,,,,,,,,,,,,,,,3959557,4217119,4479985,4751156,5039695,5339095,5656695,5992680,6345687,6706378,7039225,7266443,7495899,7728870,7968051,8212721,8457567,8694466,8920749,9142356,
        Hispanic (People),14609000,15560309,16239562,16935469,17640121,18367986,19154577,19946199,20786556,21648268,22572838,23554990,24619345,25776661,26945933,28157801,29463458,30895896,32382865,33937795,35661885,37144096,38617620,40049429,41501375,43023614,44606305,46196853,47793785,49327489,50742885,51857244,52926701,53990334,55088193,56254742,57450887,58573530,59639869,60572237,
        Not Hispanic (People),212615681,213905405,215424896,216856525,218184781,219555809,220978310,222342719,223712426,225170962,226897701,229425951,231894879,234141927,236179888,238120592,239930826,241751029,243471239,245102373,246503959,247824859,249007573,250058504,251303923,252492985,253773607,255034354,256300181,257444040,258578781,259699630,260904289,262003381,263212815,264380421,265490424,266412009,267047632,267667286,
        Hispanic (People),14609000,15560309,16239562,16935469,17640121,18367986,19154577,19946199,20786556,21648268,22572838,23554990,24619345,25776661,26945933,28157801,29463458,30895896,32382865,33937795,35661885,37144096,38617620,40049429,41501375,43023614,44606305,46196853,47793785,49327489,50742885,51857244,52926701,53990334,55088193,56254742,57450887,58573530,59639869,60572237,
"        White, Not-Hispanic (People)",,181974435,182781655,183561138,184242853,184945003,185677726,186352800,187011730,187712384,188725372,190017764,191335711,192470910,193468650,194388780,195173744,195934009,196603242,197154118,195701752,195974813,196140540,196232760,196461761,196620983,196832697,197011394,197183535,197274549,197388592,197486399,197639572,197690405,197799592,197837000,197845666,197748159,197535202,197309822,
"        Black, Not-Hispanic (People)",,26532114,26856062,27158852,27444460,27737907,28040272,28350939,28669163,29005206,29439192,30057660,30719969,31344132,31940211,32500056,33042160,33607186,34168672,34722236,34405800,34780280,35130061,35438251,35797599,36147348,36520961,36905758,37290709,37656592,38013471,38379378,38756150,39117317,39488757,39862578,40231299,40568433,40860704,41147488,
"        Asian, Not-Hispanic (People)",,,,,,,,,,,7092269,7509679,7947196,8382347,8776213,9187551,9614039,10056689,10489983,10957343,10838983,11309135,11768587,12209073,12641171,13092024,13545366,13987653,14430437,14849062,14760994,15210462,15673926,16147839,16660735,17198200,17713306,18186249,18545428,18905879,
"        American Indian and Alaska Native, Not-Hispanic (People)",,,,,,,,,,,1793143,1840848,1892003,1944538,1994814,2044205,2100883,2153145,2209342,2268676,2101969,2119929,2136918,2152127,2169359,2186123,2203091,2220301,2237304,2252408,2268775,2289536,2311213,2331890,2352171,2370871,2388699,2405169,2420241,2434908,
"        Other / Mixed race, Not Hispanic (People)",,,,,,,,,,,,,,,,,,,,,3452022,3640702,3831467,4026293,4234033,4446507,4671492,4909248,5158196,5411429,5647090,5823185,6001907,6183030,6368514,6557720,6745777,6927623,7099894,7273281,
