Years,STATEID,STATE,REGION,JURGT1M,JURGT1F,JURLT1M,JURLT1F,JURUNSM,JURUNSF,JURTOTM,JURTOTF,JURUSTOTAL,PVINM,PVINF,PVOTHM,PVOTHF,PVINCLM,PVINCLF,WHITEM,WHITEF,BLACKM,BLACKF,HISPM,HISPF,AIANM,AIANF,ASIANM,ASIANF,NHPIM,NHPIF,APIM,APIF,TWORACEM,TWORACEF,ADDRACEM,ADDRACEF,UNKRACEM,UNKRACEF,TOTRACEM,TOTRACEF,NOTHISPM,NOTHISPF,UNKHISPM,UNKHISPF,TOTHCATM,TOTHCATF,COMMITM,COMMITF,PARNEWM,PARNEWF,PARNOM,PARNOF,ADCRNEWM,ADCRNEWF,ADCRNOM,ADCRNOF,ADTRANSM,ADTRANSF,ADAWOLM,ADAWOLF,ADESCAPM,ADESCAPF,ADAWESM,ADAWESF,ADRETM,ADRETF,ADOTHM,ADOTHF,ADTOTM,ADTOTF,RLUNEXPM,RLUNEXPF,RLUNCOMM,RLUNCOMF,RLUNOTHM,RLUNOTHF,RLCOPROM,RLCOPROF,RLCOSUPM,RLCOSUPF,RLCODPM,RLCODPF,RLCOOTHM,RLCOOTHF,RLDEATHM,RLDEATHF,RLAWOLM,RLAWOLF,RLESCAPM,RLESCAPF,RLAWESM,RLAWESF,RLTRANM,RLTRANF,RLBONDM,RLBONDF,RLOTHM,RLOTHF,RLTOTM,RLTOTF,FLOJANM,FLOJANF,FLOADMM,FLOADMF,FLORLM,FLORLF,FLODECM,FLODECF,ADMITUSTOTAL,RELEASEUSTOTAL,Population (People),        Under 5 years of age (People),        5 to 14 years (People),        15 to 24 years (People),        25 to 34 years (People),        35 to 44 years (People),        45 to 54 years (People),        55 to 64 years (People),        65+ years (People),        White (People),        Black or African American (People),        Asian (People),        American Indian and Alaska Native (People),        Two or more races (People),        Northeast (People),        Midwest (People),        South (People),        West (People),        Male (People),        Female (People),        Children (under 18) (People),        Working-age (16-64) (People),        Elderly (65+) (People),        Working-age (18-64) (People),        Children (15 and under) (People),        White (People),        Black or African American (People),        Asian (People),        American Indian and Alaska Native (People),        Other / Mixed race (People),        Hispanic (People),        Not Hispanic (People),        Hispanic (People),"        White, Not-Hispanic (People)","        Black, Not-Hispanic (People)","        Asian, Not-Hispanic (People)","        American Indian and Alaska Native, Not-Hispanic (People)","        Other / Mixed race, Not Hispanic (People)",DUI,curfew loitering,disorderly conduct,drug violations,drunkeness,liquor,property,vagrancy,violence,weapons
2009,70.0,US,5.0,1448239.0,105335.0,28760.0,5736.0,25003.0,2414.0,1502002.0,113485.0,1615487.0,80249.0,7255.0,40397.0,1432.0,void,void,603761.0,62819.0,644219.0,35038.0,207097.0,10867.0,18532.0,2531.0,9470.0,1026.0,3220.0,471.0,void,void,285.0,53.0,8356.0,387.0,3643.0,166.0,1498583.0,113338.0,void,void,void,void,void,void,420975.0,54022.0,45213.0,3847.0,130284.0,11933.0,16404.0,1908.0,29486.0,3272.0,2009.0,158.0,1831.0,187.0,1045.0,119.0,void,void,4645.0,438.0,5456.0,803.0,659689.0,77107.0,178982.0,20521.0,467.0,64.0,9870.0,1420.0,45024.0,8649.0,226992.0,24109.0,144498.0,17161.0,34080.0,4991.0,3144.0,138.0,888.0,60.0,1566.0,331.0,void,void,6135.0,263.0,4436.0,424.0,4322.0,457.0,660404.0,78588.0,1270096.0,94808.0,658167.0,76604.0,658928.0,78063.0,1263302.0,93198.0,736796.0,738992.0,306771529.0,20244518.0,40843063.0,43576932.0,40723342.0,41487811.0,44867088.0,35405600.0,39623175.0,241034399.0,39902270.0,15491716.0,3636766.0,6706378,55133101.0,66748437.0,113548615.0,71341376.0,150807454.0,155964075.0,74134167.0,201800866.0,39623175.0,193014187,65347488,241034399.0,39902270.0,15491716.0,3636766.0,6706378,49327489.0,257444040.0,49327489.0,197274549,37656592,14849062,2252408,5411429,469.5,36.7,213.6,542.3,193.7,185.9,563.4,10.9,182.7,54.2
2010,70.0,US,5.0,1447766.0,104903.0,26787.0,5575.0,24356.0,2330.0,1500936.0,112867.0,1613803.0,83832.0,6818.0,35729.0,1566.0,void,void,603827.0,63450.0,635808.0,33721.0,207808.0,10733.0,18891.0,2680.0,9268.0,960.0,3121.0,481.0,void,void,482.0,106.0,8063.0,358.0,3440.0,159.0,1490866.0,112753.0,void,void,void,void,void,void,404876.0,53484.0,42737.0,3617.0,127805.0,10523.0,14613.0,1829.0,27895.0,2898.0,2540.0,0.0,990.0,46.0,1211.0,131.0,void,void,4275.0,407.0,7741.0,1098.0,634696.0,74227.0,169973.0,19380.0,453.0,63.0,9869.0,1421.0,52727.0,9739.0,212635.0,21398.0,141498.0,16193.0,33411.0,4941.0,3355.0,151.0,686.0,50.0,1488.0,314.0,void,void,2724.0,269.0,4461.0,390.0,3126.0,443.0,639055.0,75176.0,1272042.0,93866.0,584441.0,69287.0,591174.0,70343.0,1264582.0,92680.0,708923.0,714231.0,309327143.0,20188815.0,41011834.0,43682397.0,41210814.0,40980472.0,44986392.0,36782718.0,40478224.0,242235328.0,40355385.0,15261408.0,3752274.0,7039225,55380764.0,66975328.0,114869421.0,72101630.0,152074758.0,157246908.0,74120666.0,203411942.0,40478224.0,194722776,65431500,242235328.0,40355385.0,15261408.0,3752274.0,7039225,50742885.0,258578781.0,50742885.0,197388592,38013471,14760994,2268775,5647090,456.6,30.6,198.9,529.8,181.3,165.8,531.5,10.4,172.0,51.4
2011,70.0,US,5.0,1435141.0,103706.0,27507.0,5331.0,23119.0,2313.0,1487561.0,111407.0,1598968.0,82734.0,6293.0,40375.0,1570.0,void,void,608885.0,64394.0,630651.0,31995.0,204376.0,10334.0,18901.0,2588.0,9339.0,1011.0,3288.0,472.0,void,void,469.0,80.0,7501.0,293.0,2353.0,184.0,1485763.0,111351.0,void,void,void,void,void,void,402266.0,52260.0,36437.0,2587.0,110109.0,8931.0,12425.0,1202.0,30050.0,3556.0,2900.0,258.0,578.0,38.0,1298.0,179.0,void,void,2177.0,244.0,7956.0,1351.0,606184.0,70609.0,179056.0,20404.0,271.0,17.0,2466.0,388.0,53837.0,10305.0,190542.0,17657.0,145639.0,16562.0,34852.0,5287.0,3561.0,152.0,1043.0,126.0,1799.0,217.0,void,void,1775.0,274.0,2665.0,259.0,6105.0,1047.0,623611.0,72695.0,1262814.0,92859.0,548000.0,64809.0,568116.0,66496.0,1239903.0,90430.0,676793.0,696306.0,311583481.0,20123103.0,41045296.0,43817679.0,41794054.0,40633299.0,44725716.0,38067712.0,41350015.0,243292145.0,40783547.0,15721072.0,3801451.0,7266443,55608318.0,67164092.0,116019483.0,72791588.0,153200058.0,158356816.0,73907524.0,204880180.0,41350015.0,196299335,65326679,243292145.0,40783547.0,15721072.0,3801451.0,7266443,51857244.0,259699630.0,51857244.0,197486399,38379378,15210462,2289536,5823185,390.0,24.7,186.9,491.5,171.5,160.7,526.4,9.4,165.4,49.3
2012,70.0,US,5.0,1411076.0,101354.0,25996.0,5020.0,24275.0,2391.0,1461625.0,108772.0,1570397.0,79060.0,5308.0,50198.0,2654.0,void,void,533731.0,59863.0,605355.0,29394.0,261023.0,13453.0,18211.0,2561.0,8818.0,813.0,3101.0,414.0,void,void,382.0,74.0,7167.0,321.0,2557.0,173.0,1440346.0,107067.0,void,void,void,void,void,void,391829.0,52385.0,29585.0,1891.0,69058.0,6101.0,11473.0,995.0,30097.0,3524.0,2598.0,218.0,648.0,86.0,1461.0,175.0,void,void,2430.0,294.0,7291.0,1489.0,546472.0,66865.0,188325.0,21127.0,84.0,11.0,3212.0,416.0,52944.0,10489.0,124542.0,11718.0,149938.0,18414.0,34352.0,5125.0,3517.0,164.0,826.0,113.0,1423.0,176.0,void,void,2937.0,600.0,3338.0,335.0,7489.0,1175.0,572961.0,69859.0,1438501.0,104479.0,546472.0,66865.0,573058.0,69867.0,1406706.0,101208.0,613337.0,642820.0,313877662.0,19976065.0,41136885.0,43955174.0,42290999.0,40510928.0,44256152.0,38574424.0,43130363.0,244354778.0,41225339.0,16195092.0,3853222.0,7495899,55782661.0,67348275.0,117264196.0,73482530.0,154374397.0,159456593.0,73696664.0,205444520.0,43130363.0,197003963,65256107,244354778.0,41225339.0,16195092.0,3853222.0,7495899,52926701.0,260904289.0,52926701.0,197639572,38756150,15673926,2311213,6001907,408.8,22.4,173.3,494.7,162.9,140.7,524.6,8.6,160.3,47.6
2013,70.0,US,5.0,1416102.0,104301.0,33387.0,5920.0,22485.0,2152.0,1465592.0,111358.0,1576950.0,76825.0,3960.0,49636.0,2942.0,void,void,534515.0,61753.0,600123.0,28884.0,261032.0,13691.0,17094.0,2516.0,9056.0,829.0,2721.0,368.0,void,void,408.0,61.0,9113.0,445.0,3034.0,195.0,1437307.0,108777.0,void,void,void,void,void,void,398815.0,56004.0,28338.0,1911.0,71117.0,6930.0,10811.0,978.0,33880.0,4178.0,2130.0,152.0,462.0,77.0,1300.0,161.0,void,void,4320.0,470.0,10504.0,1706.0,561677.0,72567.0,153297.0,17605.0,182.0,16.0,2500.0,371.0,54439.0,11217.0,123200.0,12287.0,147262.0,19465.0,27366.0,4649.0,3399.0,135.0,610.0,116.0,1128.0,175.0,void,void,3466.0,428.0,3458.0,370.0,39356.0,3416.0,559704.0,70245.0,1204333.0,88200.0,561677.0,72567.0,557098.0,69617.0,1229962.0,91665.0,634244.0,629949.0,316059947.0,19849215.0,41218213.0,43989690.0,42834450.0,40444961.0,43749928.0,39277803.0,44629455.0,245308889.0,41651863.0,16679752.0,3902766.0,7728870,55912775.0,67576524.0,118397213.0,74173435.0,155481926.0,160511789.0,73568702.0,206149020.0,44629455.0,197795558,65215240,245308889.0,41651863.0,16679752.0,3902766.0,7728870,53990334.0,262003381.0,53990334.0,197690405,39117317,16147839,2331890,6183030,369.3,17.8,148.1,475.0,140.4,112.3,493.5,8.2,146.7,43.6
2014,70.0,US,5.0,1401685.0,106096.0,25067.0,4659.0,22318.0,2266.0,1449291.0,113028.0,1562319.0,75873.0,4294.0,48491.0,3065.0,void,void,542395.0,64883.0,600209.0,28587.0,261405.0,14457.0,19830.0,2930.0,9360.0,889.0,2750.0,318.0,void,void,699.0,99.0,9070.0,509.0,2217.0,114.0,1447936.0,112786.0,void,void,void,void,void,void,392384.0,56609.0,26055.0,1703.0,75616.0,7644.0,13334.0,1547.0,33840.0,4486.0,2418.0,227.0,484.0,95.0,1253.0,189.0,void,void,3578.0,392.0,7629.0,1827.0,556192.0,74570.0,156323.0,19108.0,89.0,19.0,2041.0,387.0,55281.0,12063.0,126692.0,13203.0,149075.0,18952.0,26021.0,4637.0,3523.0,170.0,534.0,126.0,1117.0,176.0,void,void,3305.0,414.0,3405.0,341.0,41977.0,3039.0,569394.0,72567.0,1216713.0,90040.0,556591.0,74719.0,569394.0,72567.0,1402029.0,106302.0,630762.0,641961.0,318386329.0,19872349.0,41180681.0,43926765.0,43448454.0,40401376.0,43330932.0,39983435.0,46157016.0,246350641.0,42090120.0,17203569.0,3953354.0,7968051,56021339.0,67765576.0,119666248.0,74933166.0,156654424.0,161646584.0,73563723.0,206928134.0,46157016.0,198580269,65215858,246350641.0,42090120.0,17203569.0,3953354.0,7968051,55088193.0,263212815.0,55088193.0,197799592,39488757,16660735,2352171,6368514,351.2,16.9,137.0,490.5,130.3,100.9,488.2,8.6,150.1,44.2
2015,70.0,US,5.0,1371879.0,104968.0,21861.0,4350.0,21141.0,2161.0,1415112.0,111491.0,1526603.0,83608.0,5999.0,35084.0,1581.0,void,void,534559.0,64685.0,582338.0,27554.0,254342.0,14397.0,19994.0,2848.0,9396.0,858.0,2936.0,376.0,void,void,353.0,57.0,8308.0,483.0,2367.0,181.0,1414593.0,111440.0,void,void,void,void,void,void,374176.0,54898.0,25181.0,1833.0,73537.0,7832.0,12643.0,1419.0,37071.0,5110.0,2191.0,173.0,642.0,119.0,1296.0,213.0,void,void,4034.0,352.0,4900.0,1061.0,538802.0,74150.0,159101.0,20036.0,102.0,11.0,2209.0,409.0,55207.0,11943.0,127297.0,13419.0,147876.0,20274.0,24918.0,4669.0,3577.0,147.0,583.0,131.0,1336.0,227.0,void,void,3236.0,341.0,3466.0,352.0,42364.0,3650.0,571272.0,75609.0,1403066.0,106453.0,538802.0,74150.0,571270.0,75669.0,1371408.0,104967.0,612952.0,646881.0,320738994.0,19918078.0,41081146.0,43749670.0,44038198.0,40437602.0,43015531.0,40744168.0,47650770.0,247382690.0,42532491.0,17752744.0,4004358.0,8212721,56052790.0,67885682.0,121049223.0,75751299.0,157856394.0,162778769.0,73618051.0,207737412.0,47650770.0,199366342,65246981,247382690.0,42532491.0,17752744.0,4004358.0,8212721,56254742.0,264380421.0,56254742.0,197837000,39862578,17198200,2370871,6557720,339.7,14.0,120.4,464.3,126.6,83.0,456.3,7.8,150.6,45.3
2016,70.0,US,5.0,1354109.0,105839.0,19872.0,3925.0,22006.0,2022.0,1396296.0,111833.0,1508129.0,89856.0,7179.0,30796.0,492.0,void,void,521492.0,65348.0,569902.0,26596.0,259039.0,14435.0,19790.0,2954.0,9547.0,878.0,2866.0,346.0,void,void,404.0,78.0,8228.0,510.0,2067.0,187.0,1393335.0,111332.0,void,void,void,void,void,void,363258.0,55770.0,26488.0,2080.0,75319.0,8415.0,12368.0,1312.0,41962.0,5524.0,1994.0,197.0,662.0,122.0,1328.0,259.0,void,void,3970.0,350.0,7439.0,1745.0,534788.0,75773.0,147141.0,18731.0,115.0,20.0,2355.0,390.0,54703.0,11951.0,145843.0,15331.0,147471.0,21057.0,25534.0,4865.0,3887.0,147.0,636.0,156.0,1300.0,238.0,void,void,17755.0,1439.0,4333.0,423.0,4195.0,640.0,555268.0,75388.0,1373133.0,105184.0,534757.0,75773.0,555277.0,75388.0,1352597.0,105459.0,610561.0,630656.0,323071755.0,19921759.0,41055553.0,43473877.0,44732005.0,40459218.0,42707029.0,41389799.0,49202071.0,248413058.0,42970183.0,18279949.0,4054740.0,8457567,56063777.0,68018175.0,122419547.0,76570256.0,159021785.0,163919526.0,73649413.0,208562839.0,49202071.0,200089827,65176401,248413058.0,42970183.0,18279949.0,4054740.0,8457567,57450887.0,265490424.0,57450887.0,197845666,40231299,17713306,2388699,6745777,315.2,10.6,114.5,487.0,116.6,72.7,419.0,7.7,152.2,48.5
2017,70.0,US,5.0,1334828.0,105049.0,21132.0,4317.0,21866.0,2004.0,1377815.0,111374.0,1489189.0,88695.0,5751.0,26267.0,331.0,void,void,517126.0,65725.0,557659.0,25638.0,256212.0,14540.0,20508.0,3197.0,9494.0,789.0,2917.0,258.0,void,void,626.0,167.0,8050.0,477.0,4095.0,487.0,1376687.0,111278.0,void,void,void,void,void,void,362324.0,56255.0,24575.0,2017.0,67903.0,8491.0,15478.0,1715.0,47883.0,6148.0,2004.0,228.0,618.0,130.0,1372.0,264.0,void,void,4277.0,312.0,7555.0,1638.0,533989.0,77198.0,139862.0,18274.0,166.0,15.0,1934.0,345.0,69502.0,13073.0,129391.0,14833.0,164073.0,23486.0,27236.0,5191.0,4119.0,165.0,676.0,134.0,1376.0,272.0,void,void,2433.0,344.0,4189.0,486.0,5034.0,1003.0,549991.0,77621.0,1351219.0,105441.0,533989.0,77198.0,549991.0,77621.0,1333462.0,104962.0,611187.0,627612.0,325122128.0,19890972.0,41077140.0,43136918.0,45263412.0,40756584.0,42232340.0,41874769.0,50753404.0,249270773.0,43374142.0,18764237.0,4101605.0,8694466,56083383.0,68160342.0,123611036.0,77267367.0,160045920.0,164939619.0,73585346.0,209153354.0,50753404.0,200646789,65078781,249270773.0,43374142.0,18764237.0,4101605.0,8694466,58573530.0,266412009.0,58573530.0,197748159,40568433,18186249,2405169,6927623,304.8,9.3,108.7,502.5,112.9,63.8,384.6,7.2,152.4,50.8
2018,70.0,US,5.0,1309925.0,104237.0,22400.0,4546.0,21759.0,2051.0,1354313.0,110845.0,1465158.0,89916.0,5630.0,22893.0,5.0,void,void,510811.0,65895.0,546975.0,24872.0,252177.0,14724.0,20605.0,3184.0,9580.0,917.0,2818.0,349.0,void,void,548.0,107.0,7648.0,487.0,2229.0,238.0,1353391.0,110774.0,void,void,void,void,void,void,355016.0,55851.0,26074.0,2396.0,62658.0,8216.0,14409.0,1931.0,47881.0,6098.0,1434.0,110.0,688.0,107.0,1286.0,270.0,void,void,2696.0,269.0,10804.0,2090.0,522946.0,77338.0,136614.0,17955.0,114.0,25.0,1931.0,361.0,67537.0,12679.0,126218.0,14798.0,164482.0,23740.0,28298.0,5590.0,4261.0,185.0,705.0,111.0,1310.0,227.0,void,void,2837.0,373.0,3917.0,519.0,4535.0,1085.0,542759.0,77648.0,1328352.0,104445.0,522946.0,77338.0,542759.0,77648.0,1309401.0,104186.0,600284.0,620407.0,326838199.0,19762962.0,41056914.0,42872747.0,45610110.0,41213474.0,41577706.0,42224249.0,52369339.0,249961025.0,43732024.0,19134105.0,4145811.0,8920749,56084543.0,68263019.0,124649156.0,77841481.0,160885734.0,165801767.0,73319145.0,209360575.0,52369339.0,200999017,64957587,249961025.0,43732024.0,19134105.0,4145811.0,8920749,59639869.0,267047632.0,59639869.0,197535202,40860704,18545428,2420241,7099894,306.5,6.7,100.8,506.4,100.6,53.0,357.3,7.2,151.8,51.5
